0.11632E+08 0.392634E+48 0.381033E+48 7000
0.10691E+08 0.388814E+48 0.381522E+48 7020
0.10043E+08 0.411568E+48 0.405901E+48 7030
0.89801E+07 0.556514E+48 0.546192E+48 7050
0.87605E+07 0.680460E+48 0.663524E+48 7070
0.86643E+07 0.733220E+48 0.712739E+48 7080
0.84909E+07 0.811490E+48 0.785855E+48 7100
0.81659E+07 0.910257E+48 0.876015E+48 7120
0.75857E+07 0.996751E+48 0.960938E+48 7130
0.63432E+07 0.117914E+49 0.114776E+49 7150
0.55236E+07 0.131022E+49 0.129065E+49 7170
0.52248E+07 0.133033E+49 0.131766E+49 7180
0.47785E+07 0.128982E+49 0.128628E+49 7200
0.44150E+07 0.119078E+49 0.119065E+49 7220
0.42365E+07 0.114969E+49 0.115115E+49 7230
0.38447E+07 0.113148E+49 0.113959E+49 7250
0.35733E+07 0.995457E+48 0.101140E+49 7270
0.35293E+07 0.997807E+48 0.102547E+49 7280
0.32257E+07 0.113534E+49 0.120128E+49 7300
0.29565E+07 0.112184E+49 0.117774E+49 7320
0.28317E+07 0.113492E+49 0.118710E+49 7330
0.25728E+07 0.119745E+49 0.124906E+49 7350
0.23782E+07 0.113651E+49 0.116154E+49 7370
0.22371E+07 0.117758E+49 0.119322E+49 7380
0.19840E+07 0.136553E+49 0.140299E+49 7400
0.17847E+07 0.159588E+49 0.166112E+49 7420
0.16919E+07 0.174600E+49 0.182892E+49 7430
0.15056E+07 0.209435E+49 0.221912E+49 7450
0.12858E+07 0.248712E+49 0.265182E+49 7470
0.11937E+07 0.282760E+49 0.303050E+49 7480
0.10984E+07 0.329903E+49 0.351749E+49 7500
0.10842E+07 0.365037E+49 0.388337E+49 7520
0.10719E+07 0.397927E+49 0.423833E+49 7530
0.10414E+07 0.452901E+49 0.483201E+49 7550
0.94842E+06 0.465715E+49 0.500395E+49 7570
0.91856E+06 0.452990E+49 0.486403E+49 7580
0.85896E+06 0.457041E+49 0.493029E+49 7600
0.79971E+06 0.487454E+49 0.530685E+49 7620
0.76958E+06 0.511260E+49 0.560173E+49 7630
0.71602E+06 0.532369E+49 0.577447E+49 7650
0.71199E+06 0.457379E+49 0.536039E+49 7680
0.71059E+06 0.439458E+49 0.549547E+49 7700
0.70396E+06 0.433562E+49 0.565438E+49 7750
0.68476E+06 0.436753E+49 0.569529E+49 7780
0.63196E+06 0.464925E+49 0.606441E+49 7800
0.25185E+06 0.110398E+50 0.149862E+50 7850
0.11186E+06 0.251180E+50 0.363393E+50 7900
0.95143E+05 0.257766E+50 0.377351E+50 7950
0.80100E+05 0.292588E+50 0.437294E+50 8000
0.62737E+05 0.417144E+50 0.650150E+50 8080
0.52751E+05 0.402644E+50 0.598414E+50 8180
0.27547E+05 0.344288E+50 0.462466E+50 8280
0.20878E+05 0.383220E+50 0.514291E+50 8300
0.11010E+05 0.568733E+50 0.781572E+50 8350
0.79591E+04 0.755195E+50 0.106620E+51 8380
0.66197E+04 0.904254E+50 0.130495E+51 8400
0.36801E+04 0.182943E+51 0.285412E+51 8480
0.34924E+04 0.170704E+51 0.261279E+51 8500
0.18471E+04 0.210350E+51 0.321042E+51 8550
0.10005E+04 0.286830E+51 0.456151E+51 8580
0.68996E+03 0.346354E+51 0.565236E+51 8600
0.27400E+03 0.559821E+51 0.978573E+51 8650
0.16456E+03 0.748204E+51 0.136620E+52 8680
0.12126E+03 0.901695E+51 0.169432E+52 8700
0.92843E+02 0.109244E+52 0.211503E+52 8750
0.79273E+02 0.120790E+52 0.237484E+52 8780
0.70936E+02 0.129170E+52 0.256518E+52 8800
0.53443E+02 0.151877E+52 0.309606E+52 8850
0.39850E+02 0.177661E+52 0.371260E+52 8900
0.29543E+02 0.207540E+52 0.445017E+52 8950
0.22517E+02 0.243517E+52 0.536748E+52 9000
0.17299E+02 0.282400E+52 0.639148E+52 9050
0.13148E+02 0.326187E+52 0.757378E+52 9100
0.99436E+01 0.376368E+52 0.896092E+52 9150
0.75993E+01 0.432475E+52 0.105624E+53 9200
0.57876E+01 0.496423E+52 0.124360E+53 9250
0.43845E+01 0.565918E+52 0.145268E+53 9300
0.32947E+01 0.642930E+52 0.168988E+53 9350
0.24464E+01 0.726403E+52 0.195321E+53 9400
0.17928E+01 0.816577E+52 0.224496E+53 9450
0.12888E+01 0.912299E+52 0.256289E+53 9500
0.89942E+00 0.101115E+53 0.290189E+53 9550
0.59979E+00 0.111714E+53 0.327027E+53 9600
